id,title,body,tags
1,Introduction to ML Pipelines,"Machine learning pipelines automate the workflow from raw data to deployed models. This article covers the key components: data ingestion, preprocessing, model training, evaluation, and deployment.","ml,pipelines,automation"
2,Data Engineering with AI,"Modern data engineering increasingly relies on AI to automate schema inference, data quality checks, and transformation logic. We explore how LLMs can assist data engineers in building robust pipelines.","data-engineering,ai,llm"
3,Favnir: Type-Safe AI ETL,"Favnir is a type-safe pipeline-first language designed for AI data engineering. Its effect system tracks LLM calls, vector DB queries, and external API calls at the type level.","favnir,type-safety,etl"
4,Vector Databases Explained,"Vector databases store high-dimensional embeddings and enable semantic search. This article compares Pinecone, Qdrant, Weaviate, and pgvector for production AI workloads.","vector-db,embeddings,search"
5,Semantic Search Architecture,"Building a semantic search system requires three components: an embedding model, a vector database, and a retrieval layer. We walk through a complete implementation using OpenAI and Pinecone.","semantic-search,architecture,openai"
6,LLM Extraction Patterns,"Structured data extraction from unstructured text is a key LLM use case. We cover prompt engineering, schema-guided extraction, and validation strategies for production use.","llm,extraction,prompting"
7,Distributed AI Pipelines,"Running AI pipelines at scale requires distributed execution. This article covers partitioning strategies, checkpoint-based fault tolerance, and cost optimization for large-scale embedding workloads.","distributed,scaling,fault-tolerance"
8,Kubernetes for Data Workloads,"Deploying data pipelines on Kubernetes enables autoscaling and resource isolation. We cover CRD-based pipeline orchestration, GPU resource allocation, and monitoring.","kubernetes,orchestration,gpu"
9,Cost Optimization for LLM APIs,"LLM API costs can be significant at scale. We cover batching strategies, model selection, caching, and cost estimation tools to keep AI pipeline costs under control.","cost,optimization,llm-api"
10,OpenTelemetry for AI Pipelines,"Distributed tracing is essential for debugging AI pipelines. This article covers instrumenting LLM calls, vector DB queries, and pipeline stages with OpenTelemetry.","observability,tracing,otel"
